fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
01035,97,75,38341,98803.0,8312,6833,18506,4690,77.31958762886597,6564.0,5.841102985984156,15.052254722730043,584.1102985984156
01037,6,1,71,71.0,63,8,0,0,16.666666666666668,5892.0,0.012050237610319077,0.012050237610319077,1.2050237610319077
01039,117,93,134976,330592.0,30100,26529,65373,12974,79.48717948717949,20999.0,6.427734654031144,15.743225867898472,642.7734654031144
01041,73,53,32962,69940.0,10276,7158,13554,1974,72.6027397260274,7476.0,4.40904226859283,9.355270197966828,440.904226859283
01043,2,0,0,0.0,0,0,0,0,0.0,42465.0,0.0,0.0,0.0
01045,70,54,94363,235832.0,22731,20258,38467,12907,77.14285714285714,23984.0,3.9344146097398265,9.83288859239493,393.44146097398266
01047,28,19,14291,16375.0,9587,3662,1042,0,67.85714285714286,20391.0,0.7008484135157668,0.8030503653572655,70.08484135157667
01049,1,0,0,0.0,0,0,0,0,0.0,37270.0,0.0,0.0,0.0
01051,18,9,7833,11576.0,2731,3256,1829,17,50.0,33928.0,0.23087125677906153,0.3411931148314077,23.087125677906155
01053,133,106,189878,504463.0,42119,36194,81080,30485,79.69924812030075,19366.0,9.804709284312713,26.048900134255913,980.4709284312713
01055,2,0,0,0.0,0,0,0,0,0.0,49918.0,0.0,0.0,0.0
01057,5,4,369,369.0,369,0,0,0,80.0,9093.0,0.040580666446717255,0.040580666446717255,4.058066644671725
01061,109,88,169983,465109.0,37790,28817,73918,29458,80.73394495412845,14754.0,11.521146807645385,31.524264606208487,1152.1146807645384
01063,13,7,3369,5195.0,1049,1407,913,0,53.84615384615385,4230.0,0.7964539007092198,1.2281323877068557,79.64539007092199
01065,9,6,6149,8689.0,3548,1331,1270,0,66.66666666666667,7471.0,0.8230491232766698,1.1630303841520546,82.30491232766698
01067,64,46,57304,154438.0,9532,9903,30737,7132,71.875,9862.0,5.810586088014602,15.659906712634355,581.0586088014602
01069,88,74,204537,546849.0,54687,29088,87166,33596,84.0909090909091,55379.0,3.6934036367576155,9.874663681178786,369.3403636757615
01071,1,0,0,0.0,0,0,0,0,0.0,27046.0,0.0,0.0,0.0
01073,5,2,2419,2419.0,1746,673,0,0,40.0,324270.0,0.007459832855336602,0.007459832855336602,0.7459832855336602
01075,4,2,181,181.0,181,0,0,0,50.0,7028.0,0.025754126351735913,0.025754126351735913,2.5754126351735915
01077,1,0,0,0.0,0,0,0,0,0.0,46677.0,0.0,0.0,0.0
01081,19,11,22610,33548.0,10165,6976,5469,0,57.89473684210526,72613.0,0.3113767507195681,0.4620109346811177,31.13767507195681
01085,33,24,336,527.0,133,118,78,7,72.72727272727273,4546.0,0.07391113066432028,0.11592608886933568,7.391113066432029
01087,26,18,10920,17631.0,4874,2980,2873,193,69.23076923076923,10134.0,1.0775606867969212,1.7397868561278864,107.75606867969212
01089,1,0,0,0.0,0,0,0,0,0.0,175636.0,0.0,0.0,0.0
01091,29,17,8075,16057.0,2751,2212,2526,586,58.62068965517241,10367.0,0.7789138612906338,1.548856949937301,77.89138612906338
01093,1,0,0,0.0,0,0,0,0,0.0,14638.0,0.0,0.0,0.0
01095,1,0,0,0.0,0,0,0,0,0.0,46754.0,0.0,0.0,0.0
01097,127,104,1219245,2848125.0,282996,296364,523515,116370,81.88976377952756,184817.0,6.597039233403853,15.410514184301228,659.7039233403854
01099,80,60,30615,82360.0,6081,6313,13120,5101,75.0,10900.0,2.8087155963302752,7.555963302752294,280.8715596330275
01101,34,25,25603,49452.0,8392,6902,9232,1077,73.52941176470588,110129.0,0.23248190758110943,0.4490370383822608,23.248190758110944
01105,11,7,2103,2973.0,1002,666,435,0,63.63636363636363,4673.0,0.45003209929381555,0.6362080034239247,45.003209929381555
01107,7,4,106,106.0,80,26,0,0,57.142857142857146,8144.0,0.013015717092337918,0.013015717092337918,1.3015717092337917
01109,64,47,61641,124775.0,18272,15582,25267,2520,73.4375,18021.0,3.4205094056933576,6.923866600077687,342.05094056933575
01111,4,2,76,76.0,76,0,0,0,50.0,13571.0,0.005600176847689927,0.005600176847689927,0.5600176847689927
01113,26,23,21725,34692.0,9663,7203,3776,1083,88.46153846153847,26160.0,0.8304663608562691,1.3261467889908256,83.04663608562691
01115,2,0,0,0.0,0,0,0,0,0.0,39104.0,0.0,0.0,0.0
01117,4,1,629,629.0,629,0,0,0,25.0,90930.0,0.006917408995930936,0.006917408995930936,0.6917408995930936
